measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1997,236841.53534786816,255649.49176428898,220194.83044291177
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1997,0.7900319535257131,0.8037558893550398,0.7760741966197973
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1997,0.8895858505159391,0.9053244878112998,0.8742312424571431
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1997,0.4453610481315978,0.465877907323039,0.424604897760744
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1997,0.6927614393103086,0.7345004147245573,0.6533105080019355
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2001,754200.9290758695,789369.477035563,719448.525651751
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2001,851037.7186454549,890832.7311024759,812250.0568787485
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2001,171934.6985609558,182086.89041667656,161287.30837241397
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2001,268069.6472832927,290267.69047212286,248100.14214554886
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2001,0.7869576332183603,0.8011235091568212,0.7729520596335936
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2001,0.887996851200448,0.9043778050476847,0.8719520570692654
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2001,0.4413758731145052,0.462002012683528,0.4222639336794319
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2001,0.6880718636269049,0.730160395067495,0.6487675540402691
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2003,786407.9020873288,823050.61498312,752216.0665606544
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2003,888969.8528894145,931182.2070016974,851294.9715419782
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2003,182187.56260603154,193269.30093904212,170324.75536498034
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2003,285103.4620840313,311345.3760727652,262846.8815656009
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2003,0.7849081525210502,0.799349239926616,0.7707427221719448
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2003,0.8872725631128121,0.9040738371904616,0.8710360670621276
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2003,0.43882546838328895,0.45846541498282994,0.4193473066686941
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2003,0.6866496325152142,0.7298016413992935,0.6463562934899495
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2005,818712.7669672304,859949.3076032022,782137.6444374964
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2005,926939.7381159851,975421.3969206342,882876.9863081636
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2005,191060.83884023954,202883.48968307354,177121.88870895153
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2005,300919.7843118267,325981.545564712,276688.1237311198
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2005,0.7829564339503204,0.7971264195588443,0.7689702779769735
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2005,0.8864499468040612,0.9036544267461603,0.8696009201726599
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2005,0.4341954200449394,0.4545556232534234,0.4150322538065613
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2005,0.6837871550676836,0.7296293078351009,0.6423753711425504
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2009,881357.3073953964,922983.5155567168,837160.0829752616
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2009,1004393.6266829714,1055021.830132685,953106.2923974306
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2009,210443.2710436541,224415.82245672282,193475.06502834358
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2009,335155.9372286533,364284.81061046984,305988.7793668987
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2009,0.775478258017263,0.7904681399667461,0.7612693915567267
