measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1998,173682.3381,185877.9602,161756.1603
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1998,156592.4775,165469.6057,147211.0092
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1998,26497.39474,39077.40541,16134.02723
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1998,22438.25018,53392.95277,4207.907381
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1998,15789.25185,23388.27076,4881.898551
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1998,15789.25185,23388.27076,4881.898551
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1998,103485.9226,124022.0691,85193.01253
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1998,70133.40369,87984.36825,52846.64676
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1996,178053.5092,222891.6443,135453.5132
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1996,106263.8356,142288.0641,73212.44856
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1996,71745.98035,101824.0642,46639.91836
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1996,39354.6847,74620.283,7701.77651
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1996,707894.4399,735487.9456,681756.7457
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1996,699019.2974,725663.6479,673605.7117
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1996,44486.03654,65223.55084,26610.48468
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1996,58591.34236,139644.6784,9459.401142
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1996,39280.66509,58211.752,12699.60701
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1996,39280.66509,58211.752,12699.60701
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1996,340881.4318,394472.3579,285448.437
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1996,178053.5092,222891.6443,135453.5132
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1996,66628.96814,83750.94912,50047.81446
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1996,35020.60055,47247.9854,23569.00851
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1996,31590.83688,42791.25901,21281.47121
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1996,14003.75695,27044.74276,2775.164676
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1996,164317.989,176329.7284,153302.801
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1996,147901.9086,156203.6059,139260.5155
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1996,25451.4126,37222.88288,15321.23338
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1996,20846.38965,49738.14426,3867.340892
